,experiment,hour,date,device_make,browser,aware
501,1,4,3,13,1,1
502,1,5,2,66,2,1
503,1,11,1,26,1,1
504,0,21,1,13,1,1
505,1,9,0,92,2,0
506,1,5,5,13,1,1
507,0,15,0,13,1,1
508,0,18,2,68,4,1
509,0,11,1,13,1,1
510,0,9,4,13,1,1
511,0,18,5,74,4,0
512,0,15,0,13,1,1
513,0,4,7,13,1,1
514,1,11,2,13,1,0
515,0,18,6,71,7,1
516,1,10,2,13,1,0
517,0,6,1,13,1,0
518,0,4,2,73,2,1
519,0,15,0,64,7,1
520,0,15,0,13,1,1
521,1,8,5,13,1,0
522,1,4,3,13,1,1
523,0,15,0,13,1,0
524,0,0,1,108,4,1
525,0,5,1,27,1,0
526,0,2,1,13,1,0
527,0,15,0,13,1,0
528,0,16,6,95,4,0
529,0,15,0,13,1,0
530,0,6,3,76,7,1
531,1,11,0,13,1,0
532,0,20,5,13,1,0
533,1,6,1,5,4,1
534,0,20,5,5,4,0
535,0,17,7,6,4,1
536,0,5,4,13,1,0
537,0,13,5,73,4,0
538,0,15,0,64,7,0
539,1,7,3,13,1,0
540,1,4,7,13,1,1
541,1,13,0,13,1,1
542,1,15,1,13,1,0
543,1,17,6,49,2,1
544,0,15,0,13,1,1
545,1,15,1,13,2,0
546,1,7,6,13,1,1
547,0,15,0,66,4,0
548,0,14,2,23,4,1
549,1,8,3,13,1,0
550,1,7,3,13,1,0
551,0,22,6,13,2,1
552,0,20,1,81,7,0
553,1,8,1,13,2,0
554,0,16,7,13,1,0
555,0,8,3,43,7,1
556,0,15,0,13,1,1
557,0,12,1,27,4,0
558,1,3,2,114,5,1
559,0,8,7,72,2,1
560,1,15,7,66,7,0
561,0,10,3,13,1,1
562,1,3,1,26,1,1
563,1,2,7,13,1,0
564,0,2,6,13,1,0
565,1,22,4,13,1,1
566,1,7,0,13,2,1
567,1,7,2,73,7,1
568,1,19,5,13,1,0
569,1,19,6,42,7,0
570,1,21,5,66,4,0
571,1,0,0,13,1,1
572,1,17,6,13,1,1
573,0,15,0,87,7,0
574,1,3,0,73,2,1
575,1,21,6,73,7,0
576,0,1,3,23,4,0
577,1,13,0,56,2,1
578,0,5,1,13,1,1
